 customer_id | first_name |  last_name   
-------------+------------+--------------
           1 | MARY       | SMITH
           2 | PATRICIA   | JOHNSON
           5 | ELIZABETH  | BROWN
           6 | JENNIFER   | DAVIS
           7 | MARIA      | MILLER
           8 | SUSAN      | WILSON
          10 | DOROTHY    | TAYLOR
          13 | KAREN      | JACKSON
          19 | RUTH       | MARTINEZ
          21 | MICHELLE   | CLARK
          24 | KIMBERLY   | LEE
          25 | DEBORAH    | WALKER
          26 | JESSICA    | HALL
          27 | SHIRLEY    | ALLEN
          28 | CYNTHIA    | YOUNG
          29 | ANGELA     | HERNANDEZ
          30 | MELISSA    | KING
          32 | AMY        | LOPEZ
          36 | KATHLEEN   | ADAMS
          38 | MARTHA     | GONZALEZ
          39 | DEBRA      | NELSON
          40 | AMANDA     | CARTER
          41 | STEPHANIE  | MITCHELL
          43 | CHRISTINE  | ROBERTS
          45 | JANET      | PHILLIPS
          50 | DIANE      | COLLINS
          51 | ALICE      | STEWART
          53 | HEATHER    | MORRIS
          54 | TERESA     | ROGERS
          55 | DORIS      | REED
          56 | GLORIA     | COOK
          62 | JOAN       | COOPER
          63 | ASHLEY     | RICHARDSON
          64 | JUDITH     | COX
          65 | ROSE       | HOWARD
          67 | KELLY      | TORRES
          69 | JUDY       | GRAY
          70 | CHRISTINA  | RAMIREZ
          71 | KATHY      | JAMES
          72 | THERESA    | WATSON
          73 | BEVERLY    | BROOKS
          74 | DENISE     | KELLY
          75 | TAMMY      | SANDERS
          78 | LORI       | WOOD
          82 | KATHRYN    | COLEMAN
          83 | LOUISE     | JENKINS
          84 | SARA       | PERRY
          85 | ANNE       | POWELL
          86 | JACQUELINE | LONG
          87 | WANDA      | PATTERSON
          89 | JULIA      | FLORES
          90 | RUBY       | WASHINGTON
          91 | LOIS       | BUTLER
          92 | TINA       | SIMMONS
          93 | PHYLLIS    | FOSTER
         100 | ROBIN      | HAYES
         101 | PEGGY      | MYERS
         102 | CRYSTAL    | FORD
         104 | RITA       | GRAHAM
         107 | FLORENCE   | WOODS
         109 | EDNA       | WEST
         112 | ROSA       | REYNOLDS
         114 | GRACE      | ELLIS
         115 | WENDY      | HARRISON
         117 | EDITH      | MCDONALD
         119 | SHERRY     | MARSHALL
         121 | JOSEPHINE  | GOMEZ
         122 | THELMA     | MURRAY
         125 | ETHEL      | WEBB
         126 | ELLEN      | SIMPSON
         127 | ELAINE     | STEVENS
         128 | MARJORIE   | TUCKER
         129 | CARRIE     | PORTER
         130 | CHARLOTTE  | HUNTER
         132 | ESTHER     | CRAWFORD
         133 | PAULINE    | HENRY
         134 | EMMA       | BOYD
         135 | JUANITA    | MASON
         137 | RHONDA     | KENNEDY
         139 | AMBER      | DIXON
         141 | DEBBIE     | REYES
         142 | APRIL      | BURNS
         143 | LESLIE     | GORDON
         144 | CLARA      | SHAW
         145 | LUCILLE    | HOLMES
         146 | JAMIE      | RICE
         147 | JOANNE     | ROBERTSON
         148 | ELEANOR    | HUNT
         152 | ALICIA     | MILLS
         153 | SUZANNE    | NICHOLS
         154 | MICHELE    | GRANT
         155 | GAIL       | KNIGHT
         158 | VERONICA   | STONE
         160 | ERIN       | DUNN
         161 | GERALDINE  | PERKINS
         162 | LAUREN     | HUDSON
         163 | CATHY      | SPENCER
         167 | SALLY      | PIERCE
         169 | ERICA      | MATTHEWS
         172 | BERNICE    | WILLIS
         173 | AUDREY     | RAY
         177 | SAMANTHA   | DUNCAN
         178 | MARION     | SNYDER
         180 | STACY      | CUNNINGHAM
         182 | RENEE      | LANE
         184 | VIVIAN     | RUIZ
         190 | YOLANDA    | WEAVER
         191 | JEANETTE   | GREENE
         196 | ALMA       | AUSTIN
         197 | SUE        | PETERS
         198 | ELSIE      | KELLEY
         199 | BETH       | FRANKLIN
         202 | CARLA      | GUTIERREZ
         204 | ROSEMARY   | SCHMIDT
         205 | EILEEN     | CARR
         207 | GERTRUDE   | CASTILLO
         208 | LUCY       | WHEELER
         209 | TONYA      | CHAPMAN
         211 | STACEY     | MONTGOMERY
         214 | KRISTIN    | JOHNSTON
         215 | JESSIE     | BANKS
         216 | NATALIE    | MEYER
         217 | AGNES      | BISHOP
         218 | VERA       | MCCOY
         219 | WILLIE     | HOWELL
         221 | BESSIE     | MORRISON
         222 | DELORES    | HANSEN
         225 | ARLENE     | HARVEY
         226 | MAUREEN    | LITTLE
         234 | CLAUDIA    | FULLER
         235 | JACKIE     | LYNCH
         236 | MARCIA     | DEAN
         237 | TANYA      | GILBERT
         242 | GLENDA     | FRAZIER
         245 | COURTNEY   | DAY
         246 | MARIAN     | MENDOZA
         247 | STELLA     | MORENO
         251 | VICKIE     | BREWER
         252 | MATTIE     | HOFFMAN
         253 | TERRY      | CARLSON
         254 | MAXINE     | SILVA
         255 | IRMA       | PEARSON
         256 | MABEL      | HOLLAND
         257 | MARSHA     | DOUGLAS
         258 | MYRTLE     | FLEMING
         259 | LENA       | JENSEN
         260 | CHRISTY    | VARGAS
         261 | DEANNA     | BYRD
         262 | PATSY      | DAVIDSON
         264 | GWENDOLYN  | MAY
         265 | JENNIE     | TERRY
         266 | NORA       | HERRERA
         267 | MARGIE     | WADE
         268 | NINA       | SOTO
         269 | CASSANDRA  | WALTERS
         271 | PENNY      | NEAL
         272 | KAY        | CALDWELL
         273 | PRISCILLA  | LOWE
         274 | NAOMI      | JENNINGS
         275 | CAROLE     | BARNETT
         276 | BRANDY     | GRAVES
         277 | OLGA       | JIMENEZ
         278 | BILLIE     | HORTON
         279 | DIANNE     | SHELTON
         282 | JENNY      | CASTRO
         283 | FELICIA    | SUTTON
         284 | SONIA      | GREGORY
         285 | MIRIAM     | MCKINNEY
         287 | BECKY      | MILES
         288 | BOBBIE     | CRAIG
         289 | VIOLET     | RODRIQUEZ
         292 | MISTY      | LAMBERT
         293 | MAE        | FLETCHER
         296 | RAMONA     | HALE
         298 | ERIKA      | PENA
         299 | JAMES      | GANNON
         303 | WILLIAM    | SATTERFIELD
         304 | DAVID      | ROYAL
         311 | PAUL       | TROUT
         317 | EDWARD     | BAUGH
         319 | RONALD     | WEINER
         324 | GARY       | COY
         326 | JOSE       | ANDREW
         328 | JEFFREY    | SPEAR
         329 | FRANK      | WAGGONER
         330 | SCOTT      | SHELLEY
         331 | ERIC       | ROBERT
         333 | ANDREW     | PURDY
         334 | RAYMOND    | MCWHORTER
         337 | JERRY      | JORDON
         338 | DENNIS     | GILMAN
         339 | WALTER     | PERRYMAN
         340 | PATRICK    | NEWSOM
         343 | DOUGLAS    | GRAF
         346 | ARTHUR     | SIMPKINS
         347 | RYAN       | SALISBURY
         352 | ALBERT     | CROUSE
         353 | JONATHAN   | SCARBOROUGH
         354 | JUSTIN     | NGO
         355 | TERRY      | GRISSOM
         359 | WILLIE     | MARKHAM
         360 | RALPH      | MADRIGAL
         363 | ROY        | WHITING
         367 | ADAM       | GOOCH
         368 | HARRY      | ARCE
         369 | FRED       | WHEAT
         373 | LOUIS      | LEONE
         374 | JEREMY     | HURTADO
         376 | RANDY      | GAITHER
         377 | HOWARD     | FORTNER
         379 | CARLOS     | COUGHLIN
         380 | RUSSELL    | BRINSON
         381 | BOBBY      | BOUDREAU
         383 | MARTIN     | BALES
         385 | PHILLIP    | HOLM
         387 | JESSE      | SCHILLING
         388 | CRAIG      | MORRELL
         389 | ALAN       | KAHN
         390 | SHAWN      | HEATON
         391 | CLARENCE   | GAMEZ
         395 | JOHNNY     | TURPIN
         396 | EARL       | SHANKS
         397 | JIMMY      | SCHRADER
         403 | MIKE       | WAY
         404 | STANLEY    | SCROGGINS
         405 | LEONARD    | SCHOFIELD
         407 | DALE       | RATCLIFF
         410 | CURTIS     | IRBY
         413 | MARVIN     | YEE
         415 | GLENN      | PULLEN
         416 | JEFFERY    | PINSON
         418 | JEFF       | EAST
         419 | CHAD       | CARBONE
         420 | JACOB      | LANCE
         421 | LEE        | HAWKS
         422 | MELVIN     | ELLINGTON
         423 | ALFRED     | CASILLAS
         424 | KYLE       | SPURLOCK
         432 | EDWIN      | BURK
         433 | DON        | BONE
         435 | RICKY      | SHELBY
         436 | TROY       | QUIGLEY
         439 | ALEXANDER  | FENNELL
         441 | MARIO      | CHEATHAM
         442 | LEROY      | BUSTAMANTE
         444 | MARCUS     | HIDALGO
         445 | MICHEAL    | FORMAN
         446 | THEODORE   | CULP
         448 | MIGUEL     | BETANCOURT
         450 | JAY        | ROBB
         451 | JIM        | REA
         452 | TOM        | MILNER
         454 | ALEX       | GRESHAM
         456 | RONNIE     | RICKETTS
         459 | TOMMY      | COLLAZO
         460 | LEON       | BOSTIC
         461 | DEREK      | BLAKELY
         462 | WARREN     | SHERROD
         468 | TIM        | CARY
         469 | WESLEY     | BULL
         470 | GORDON     | ALLARD
         471 | DEAN       | SAUER
         472 | GREG       | ROBINS
         473 | JORGE      | OLIVARES
         474 | DUSTIN     | GILLETTE
         478 | LEWIS      | LYMAN
         480 | COREY      | HAUSER
         481 | HERMAN     | DEVORE
         482 | MAURICE    | CRAWLEY
         485 | CLYDE      | TOBIAS
         486 | GLEN       | TALBERT
         487 | HECTOR     | POINDEXTER
         489 | RICARDO    | MEADOR
         494 | RAMON      | CHOATE
         497 | GILBERT    | SLEDGE
         498 | GENE       | SANBORN
         500 | REGINALD   | KINDER
         502 | BRETT      | CORNWELL
         503 | ANGEL      | BARCLAY
         504 | NATHANIEL  | ADAM
         506 | LESLIE     | SEWARD
         508 | MILTON     | HOWLAND
         509 | RAUL       | FORTIER
         510 | BEN        | EASTER
         512 | CECIL      | VINES
         513 | DUANE      | TUBBS
         514 | FRANKLIN   | TROUTMAN
         516 | ELMER      | NOE
         518 | GABRIEL    | HARDER
         520 | MITCHELL   | WESTMORELAND
         521 | ROLAND     | SOUTH
         522 | ARNOLD     | HAVENS
         526 | KARL       | SEAL
         529 | ERIK       | GUILLEN
         531 | JAMIE      | WAUGH
         532 | NEIL       | RENNER
         533 | JESSIE     | MILAM
         535 | JAVIER     | ELROD
         538 | TED        | BREAUX
         546 | KELLY      | KNOTT
         549 | NELSON     | CHRISTENSON
         550 | GUY        | BROWNLEE
         551 | CLAYTON    | BARBEE
         554 | DWAYNE     | OLVERA
         558 | JIMMIE     | EGGLESTON
         562 | WALLACE    | SLONE
         563 | KEN        | PREWITT
         565 | JAIME      | NETTLES
         567 | ALFREDO    | MCADAMS
         568 | ALBERTO    | HENNING
         569 | DAVE       | GARDINER
         570 | IVAN       | CROMWELL
         572 | SIDNEY     | BURLESON
         573 | BYRON      | BOX
         575 | ISAAC      | OGLESBY
         576 | MORRIS     | MCCARTER
         577 | CLIFTON    | MALCOLM
         580 | ROSS       | GREY
         581 | VIRGIL     | WOFFORD
         583 | MARSHALL   | THORN
         584 | SALVADOR   | TEEL
         587 | SERGIO     | STANFIELD
         589 | TRACY      | HERRMANN
         590 | SETH       | HANNON
         591 | KENT       | ARSENAULT
         592 | TERRANCE   | ROUSH
         593 | RENE       | MCALISTER
         594 | EDUARDO    | HIATT
         595 | TERRENCE   | GUNDERSON
         598 | WADE       | DELVALLE
(330 rows)

